county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Russell County, VA",VA,10669,0.4354,0.7172,3332
"Bradford County, FL",FL,9278,0.5204,0.6892,3327
"Waseca County, MN",MN,7477,0.5925,0.7504,3325
"Nantucket County, MA",MA,5252,0.8626,0.7338,3324
"Wayne County, GA",GA,11061,0.4692,0.6402,3323
"Sawyer County, WI",WI,8810,0.5066,0.7438,3319
"Greene County, GA",GA,8198,0.6318,0.6402,3316
"Scott County, IN",IN,9848,0.4814,0.699,3314
"Seward County, NE",NE,6788,0.6691,0.7288,3310
"Escambia County, AL",AL,12808,0.4064,0.6351,3306
"Delaware County, IA",IA,7369,0.6148,0.7288,3302
"Martin County, MN",MN,8839,0.4972,0.7504,3298
"Randolph County, WV",WV,10678,0.4537,0.6809,3298
"Nobles County, MN",MN,7674,0.5701,0.7504,3283
"Adair County, MO",MO,9126,0.5112,0.7024,3277
"McKenzie County, ND",ND,5997,0.7451,0.7321,3271
"Poweshiek County, IA",IA,7804,0.575,0.7288,3270
"Fayette County, IN",IN,9422,0.4957,0.699,3265
"Iberville Parish, LA",LA,11296,0.4616,0.6254,3261
"Bayfield County, WI",WI,7437,0.5892,0.7438,3260
"Madison County, IA",IA,6696,0.6674,0.7288,3257
"Crawford County, MO",MO,9580,0.484,0.7024,3257
"Plaquemines Parish, LA",LA,8218,0.6335,0.6254,3256
"Garvin County, OK",OK,10110,0.489,0.657,3248
"Morgan County, GA",GA,8120,0.6223,0.6402,3235
"Upson County, GA",GA,10595,0.4768,0.6402,3234
"Ottawa County, OK",OK,11921,0.4124,0.657,3230
"McCurtain County, OK",OK,11143,0.441,0.657,3229
"Colusa County, CA",CA,7512,0.599,0.7172,3227
"Carter County, KY",KY,10794,0.4325,0.6892,3218
"Avoyelles Parish, LA",LA,14441,0.3563,0.6254,3218
"Audrain County, MO",MO,9219,0.4968,0.7024,3217
"Osceola County, MI",MI,9356,0.4838,0.7106,3216
"Cleburne County, AR",AR,10522,0.4649,0.657,3214
"Owen County, IN",IN,8618,0.5332,0.699,3212
"Bladen County, NC",NC,11824,0.3912,0.6941,3210
"Grady County, GA",GA,10108,0.4959,0.6402,3209
"Dickinson County, KS",KS,8016,0.559,0.7156,3207
"Saline County, IL",IL,10024,0.4463,0.7156,3201
"Butts County, GA",GA,8941,0.558,0.6402,3194
"Hopewell city, VA",VA,9255,0.4806,0.7172,3190
"Dakota County, NE",NE,7459,0.5861,0.7288,3186
"Washington County, FL",FL,9287,0.4975,0.6892,3184
"Macon County, TN",TN,9421,0.4912,0.6875,3182
"Plumas County, CA",CA,8054,0.5498,0.7172,3176
"Rowan County, KY",KY,9592,0.4783,0.6892,3162
"Clarke County, VA",VA,5890,0.7476,0.7172,3158
"Ware County, GA",GA,12957,0.3801,0.6402,3153
"Henry County, MO",MO,9217,0.4844,0.7024,3136
"Piscataquis County, ME",ME,8385,0.5096,0.7338,3135
"Kalkaska County, MI",MI,7789,0.5663,0.7106,3134
"Hardin County, TN",TN,11001,0.4144,0.6875,3134
"Somerset County, MD",MD,8348,0.531,0.7057,3128
"Langlade County, WI",WI,8881,0.4729,0.7438,3124
"Buena Vista County, IA",IA,7546,0.5679,0.7288,3123
